id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
304783,"Hadrian's Wall",2021,162,7.41509,7.91847,9135,0,,,,,,116,,
263918,Cartographers,2019,163,7.41105,7.58104,32442,0,,,,27,,,,
262712,"Res Arcana",2019,164,7.41022,7.63573,23652,0,,,,,,139,,
189932,"Tyrants of the Underdark",2016,165,7.40904,7.90799,9828,0,,,,,,119,,
281259,"The Isle of Cats",2019,166,7.40878,7.65957,23232,0,,,,25,,145,,
147020,"Star Realms",2014,167,7.40868,7.55692,46167,0,,,,,,156,,
463,"Magic: The Gathering",1993,168,7.40759,7.5868,41157,0,,19,,,,,,
396790,Nucleum,2023,169,7.40691,8.15204,6165,0,,,,,,98,,
274364,Watergate,2019,170,7.40499,7.75156,12877,0,,,,,,130,,
161970,Alchemists,2014,171,7.4038,7.63829,23546,0,,,,,,143,,
271324,"It's a Wonderful World",2019,172,7.40201,7.65263,20854,0,,,,,,142,,
14996,"Ticket to Ride: Europe",2005,173,7.40117,7.52685,80171,0,,,,32,,,,
268864,"Undaunted: Normandy",2019,174,7.39798,7.78492,12868,0,,,,,,,,30
235802,"Too Many Bones: Undertow",2018,175,7.39538,8.67442,3616,0,,,,,,88,14,
77423,"The Lord of the Rings: The Card Game",2011,176,7.39252,7.66058,24591,0,,10,,,,,,
34635,"Stone Age",2008,177,7.39199,7.51958,54068,0,,,,33,,157,,
308765,"Praga Caput Regni",2020,178,7.38998,7.87122,9498,0,,,,,,123,,
127023,Kemet,2012,179,7.38897,7.63936,19623,0,,,,,,140,,
258779,"Planet Unknown",2022,180,7.38758,7.80047,10948,0,,,,23,,132,,
2511,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",1982,181,7.38591,7.62036,22007,0,,,,,,,46,
209418,"Dominion (Second Edition)",2016,182,7.38448,7.83074,11246,0,,,,,,144,,
249259,"War Chest",2018,183,7.38418,7.83614,11099,0,6,,,,,,,
328871,"Terraforming Mars: Ares Expedition",2021,184,7.38279,7.65242,18984,0,,,,,,147,,
148949,Istanbul,2014,185,7.38261,7.54098,32351,0,,,,29,,150,,
233398,"Endeavor: Age of Sail",2018,186,7.38227,7.86833,9794,0,,,,,,126,,
146652,"Legendary Encounters: An Alien Deck Building Game",2014,187,7.37893,7.75296,13406,0,,,,,,,39,
296151,"Viscounts of the West Kingdom",2020,188,7.37879,7.81879,10478,0,,,,,,131,,
294484,"Unmatched: Cobble & Fog",2020,189,7.37814,7.95189,8484,0,,,,,,134,,
265188,"Glen More II: Chronicles",2019,190,7.377,7.88222,8766,0,,,,,,124,,
283948,"Marco Polo II: In the Service of the Khan",2019,191,7.3758,7.93842,7771,0,,,,,,120,,
103885,"Star Wars: X-Wing Miniatures Game",2012,192,7.37569,7.62846,25260,0,,14,,,,,,61
244522,"That's Pretty Clever!",2018,193,7.37326,7.56302,25879,0,,,,30,,,,
329082,Radlands,2021,194,7.37291,7.79618,12096,0,,,,,,146,,
82222,"Xia: Legends of a Drift System",2014,195,7.37101,7.85498,10434,0,,,,,,137,35,
54043,Jaipur,2009,196,7.36878,7.48511,54310,0,,,,39,,,,
233867,"Welcome To...",2018,197,7.36615,7.52212,32564,0,,,,37,,,,
359609,"Arkham Horror: The Card Game (Revised Edition)",2021,198,7.36576,8.63081,3778,0,,1,,,,,,
350184,Earth,2023,199,7.35552,7.6477,17319,0,,,,,,153,,
339789,"Welcome to the Moon",2021,200,7.35252,7.92518,7656,0,,,,24,,,40,
283355,Dune,2019,201,7.35232,7.93246,9598,0,,,,,,148,43,
271896,"Star Wars: Outer Rim",2019,202,7.35181,7.7412,13620,0,,,,,,,41,
9609,"War of the Ring",2004,203,7.35059,7.77906,10824,0,,,,,,,36,22
43111,"Chaos in the Old World",2009,204,7.35035,7.65926,15872,0,,,,,,151,45,
188920,"This War of Mine: The Board Game",2017,205,7.34704,7.7672,13771,0,,,,,,,47,
